training_losses,training_recalls
0.57989395,0.43125
0.58664924,0.375
0.57977927,0.39375
0.56641465,0.51875
0.5676202,0.38125
0.5666493,0.45
0.575004,0.40625
0.5827214,0.44375
0.5747752,0.4375
0.58018935,0.45
0.55614746,0.5375
0.57526934,0.425
0.5859876,0.39375
0.5776833,0.45
0.5589541,0.5125
0.5686196,0.475
0.5713765,0.43125
0.5739911,0.4125
0.5669122,0.475
0.56983364,0.4375
0.5666,0.4875
0.5655304,0.3875
0.5809499,0.4
0.56093913,0.5375
0.5750118,0.36875
0.5648836,0.43125
0.56916153,0.46875
0.5802337,0.4125
